State - Reg,State Abv,State Name,Reg Classification,Regulation Archived,Product Types regulated,Product Use Method,N-P-K Trigger,Claim Triggers,Package Size Trigger,Microbes Included,Tonnage Reporting Req?,Regulation,Frequency,Renewal Month,Initial Cost/Unit,Renewal Cost/Unit,TON Cost/Unit,Fee Unit,Min Ton Fee,Late Fee,State Contact (SC),SC Email Address,Office Mgr (Team lead),Office Mgr Email Address,Office Phone,Office Email,Check Payee,New Reg Method,New Registration Form or Portal,New Reg Sub Docs,New Reg Turnaround,Minimum Days Before Follow-up,New Reg Difficulty,Efficacy Requirements,In-state trials,Labs Required For Reg?,Test Frequency,Heavy Metals Test,Pathogen Analysis,Renewal Method,Renewal Sub Docs,Label Update Submission Method,Renewal Form or Portal,Tonnage Submission Method,Tonnage Form or Portal,Regulator Web Address,New Reg Trigger,Adjuvant Req,Discontinuance Period,Notes,Address Line 1,Address Line 2,Address Line 3,Mailing City,Mailing State,Mailing Zip,Delta Classification,Registration Tracking copy,Client Logins,Registration Tracking copy copy,Labeling Requirements,New Registration Notes,Client List,Tonnage Month,Renewal Season
AR-Soil Amendment,AR,Arkansas,Soil Amendment,,"Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent","Soil,Foliar",0,"Yield increase,Value in promoting plant growth",,Yes,Yes,Registration,Annual,06,$25.00,$25.00,,$/Registration,,,Mike Stage,Mike.stage@agriculture.arkansas.gov,,,(501) 219-6338,soil.amendment@arkansas.gov,State Plant Board,"Online Portal,Email",https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,"Label,SDS,Efficacy",2 Months,30,Challenging,Yes - Section 4 subsection C - Claims need to have proof of usefulness - studies done in AR conditions on those crops that are on the label. ,Yes,,,,,"Online Portal,Email",Current Labels (every year),Email,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,https://www.agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/,"Name Change,Guarantee Change,Registrant Change",,None,Only Inoculants that are applied in-furrow are considered a Soil Amendment. Seed Applications are exempt from regulation.,,Arkansas State Plant Board,PO BOX 1069,Little Rock,AR,72203,Biostimulant,"105,315,634,199,233,927,533,588,548,564,1221,1442,293,266,1852,1854,1948,2058,2525,2526,2936,3636,3951,4540,5172,5227,5542,5698,6023,6075,2867,6426,6440,6466,6186,6507,6255,6570,6308,7033,7036,7682,7550,7616,7219,7352,7286,7418,7484,7153,7783,7885,8133,8196,8260,8324,8434,8875,9246,9863,10016,10081,10159,10238,10565,10785,10953,11025,11503,11581,11736,11814,11892,11970,12048,12126,12204,12282,12360,12438,12516,12594,12672,12822,13171,13283,13300,13837,13838,14038,14088","OMY-AR-Lime-ALL,OMY-AR-Fertilizer-ALL,ARB-AR-Fertilizer-ALL,BOR-AR-Fertilizer-ALL,EEA-AR-Fertilizer-ALL,EEA-AR-Soil/Plant Amendment-ALL,GWB-AR-Soil/Plant Amendment-ALL,SYM-AR-Fertilizer-ALL,SYM-AR-Soil/Plant Amendment-ALL,VER-AR-Fertilizer-ALL,VER-AR-Soil/Plant Amendment-ALL","105,199,233,266,293,315,533,548,564,588,634,927,1221,1442,1852,1854,1948,2058,2525,2526,2867,2936,3636,3951,4540,5172,5227,5542,5698,6023,6075,6186,6255,6308,6426,6440,6466,6507,6570,7033,7036,7153,7219,7286,7352,7418,7484,7550,7616,7682,7783,7885,8133,8196,8260,8324,8434,8875,9246,9863,10016,10081,10159,10238,10565,10785,10953,11025,12822,13283,13300,11503,11581,11736,11892,11814,11970,13171,12048,12126,12204,12282,12360,12672,12438,12516,12594",,,,,Mid Year
AR-Specialty Fertilizer,AR,Arkansas,Specialty Fertilizer,,Fertilizer,N/A,> 0,,,No,Yes,Registration,Annual,06,$25.00,$25.00,,$/Registration,,,Mike Stage,Mike.stage@agriculture.arkansas.gov,,,(501) 219-6338,fertilizer@agriculture.arkansas.gov,State Plant Board,"Online Portal,Email",https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,"Label,SDS",3 months,30,,,No,,,,,Online Portal,,Email,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,"Name Change,Guarantee Change,Registrant Change",,,Specialty Fertilizers require registration under the Commercial Fertilizer Registration Form and a Facility License is only required if you have a facility in Arkansas.,,Arkansas State Plant Board,PO BOX 1069,Little Rock,AR,72203,Fertilizer,"168,316,1853,3626,3627,3628,3629,3630,3631,3632,3633,3692,3756,3820,3884,4006,4071,4136,4200,4277,4341,4412,4476,4595,4659,4723,4787,4852,4916,4980,5108,11195,11298,11091,13069,11400","OMY-AR-Lime-ALL,OMY-AR-Fertilizer-ALL,ARB-AR-Fertilizer-ALL,BOR-AR-Fertilizer-ALL,EEA-AR-Fertilizer-ALL,EEA-AR-Soil/Plant Amendment-ALL,GWB-AR-Soil/Plant Amendment-ALL,SYM-AR-Fertilizer-ALL,SYM-AR-Soil/Plant Amendment-ALL,VER-AR-Fertilizer-ALL,VER-AR-Soil/Plant Amendment-ALL","168,316,1853,3626,3627,3628,3629,3630,3631,3632,3633,3692,3756,3820,3884,4006,4071,4136,4200,4277,4341,4412,4476,4595,4659,4723,4787,4852,4916,4980,5108,11091,11195,13069,11298,11400",,,,,Mid Year
AZ- Annual Inspection Fees and Reports,AZ,Arizona, Annual Inspection Fees and Reports,,"Fertilizer,Amendment/Conditioner,Liming Material",N/A,,,,No,Yes,Tonnage/Mill,Annual,,,,$0.2500,$/Ton Sold,$0.00,,,licensing@azda.gov,,,(602) 542-0965,licensing@azda.gov,Arizona Dept of Ag/ESD,,https://agriculture.az.gov/fertilizer-registration,,,,,,,,,,,,,,https://agriculture.az.gov/fertilizer-registration,Paper/Mail,https://agriculture.az.gov/fertilizer-registration,https://agriculture.az.gov/fertilizer-registration,,,,,Arizona Department of Agriculture,Environmental Services Division,1668 W. Adams,Phoenix,AZ,85007,Tonnage,"726,6650,6901,8796,8822,682",,"682,726,6650,6901,8796,8822",,,,06,
AZ-Adjuvant,AZ,Arizona,Adjuvant,,Adjuvant,N/A,0,,,No,,No Regulation,,,,,,,,,,,,,,,Arizona Dept of Ag/ESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adjuvant,,,,,,,,
AZ-Beneficial Substance,AZ,Arizona,Beneficial Substance,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ-Commercial Fertilizer License,AZ,Arizona,Commercial Fertilizer License,,"Fertilizer,Amendment/Conditioner,Biological Inoculant,Liming Material",N/A,> 0,,,No,Yes,License,Biennial,06,$250.00,$250.00,,$/License,,$0.00,,licensing@azda.gov,,,(602) 542-0965,licensing@azda.gov,Arizona Dept of Ag/ESD,Paper/Mail,https://agriculture.az.gov/fertilizer-registration,,1 Month,30,Easy,,,,,,,Paper/Mail,Updated labels,,https://agriculture.az.gov/fertilizer-registration,,https://agriculture.az.gov/fertilizer-registration,https://agriculture.az.gov/fertilizer-registration,,,,Adopted AAPFCO labeling guidelines,Arizona Department of Agriculture,Environmental Services Division,1668 W. Adams,Phoenix,AZ,85007,Fertilizer,"20,317,656,885,1041,947,2007,3534,5596,5982,6732,7853,8098,8602,9210,9308,13366,13504,13537",,"20,317,656,885,947,1041,2007,3534,5596,5982,6732,7853,8098,8602,9210,9308,13537",,,,,Mid Year
AZ-Commerical Fertilizer,AZ,Arizona,Commerical Fertilizer,,"Fertilizer,Liming Material",N/A,> 0,,,No,Yes,Label Submission,Biennial,06,$0.00,$0.00,,,,$0.00,,licensing@azda.gov,,,(602) 542-0965,licensing@azda.gov,Arizona Dept of Ag/ESD,Paper/Mail,https://agriculture.az.gov/fertilizer-registration,"Label,SDS",1 Month,30,Easy,,,,,,,Paper/Mail,Updated labels,Email,https://agriculture.az.gov/fertilizer-registration,,https://agriculture.az.gov/fertilizer-registration,https://agriculture.az.gov/fertilizer-registration,,,,Labels need to be submitted with the license,Arizona Department of Agriculture,Environmental Services Division,1668 W. Adams,Phoenix,AZ,85007,Fertilizer,"822,823,824,825,826,827,828,2969,5328,5471,5809,5899,5926,5940,5954,5968,7959,8603,8686,8734,8977,8978,8979,8980,8981,8982,8983,8984,8985,8986,8987,9936,10361,10625,12751,11402,11299,13071,11196,11093",,"822,823,824,825,826,827,828,2969,5328,5471,5809,5899,5926,5940,5954,5968,7959,8603,8686,8734,8977,8978,8979,8980,8981,8982,8983,8984,8985,8986,8987,9936,10361,10625,12751,11093,11196,13071,11299,11402",,,,,Mid Year
AZ-Quarterly Inspection Fees and Reports,AZ,Arizona,Quarterly Inspection Fees and Reports,,"Fertilizer,Amendment/Conditioner",N/A,,,,No,Yes,Tonnage/Mill,Quarterly,,,,$0.2500,$/Ton Sold,$2.00,$10.00,,licensing@azda.gov,,,,licensing@azda.gov,Arizona Dept of Ag/ESD,,https://agriculture.az.gov/fertilizer-registration,,,,,,,,,,,,,,https://agriculture.az.gov/fertilizer-registration,Paper/Mail,https://agriculture.az.gov/fertilizer-registration,https://agriculture.az.gov/fertilizer-registration,,,,,,,,,,,Tonnage,"657,679,682,702,5857,6651,6902,8499,8823,13371",,"657,679,682,702,5857,6651,6902,8499,8823",,,,"01,04,07,10",
AZ-Soil Amendment,AZ,Arizona,Soil Amendment,,"Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent",N/A,0,,,Yes,Yes,No Regulation,,,,,,,,,,licensing@azda.gov,,,(602) 542-0965,licensing@azda.gov,Arizona Dept of Ag/ESD,,https://agriculture.az.gov/fertilizer-registration,,,,,,,,,,,,,,https://agriculture.az.gov/fertilizer-registration,,https://agriculture.az.gov/fertilizer-registration,https://agriculture.az.gov/fertilizer-registration,,,,"Labels need to be submitted with the license; soil amendments are considered ""commercial fertilizers"" if there is a yield claim",Arizona Department of Agriculture,Environmental Services Division,1668 W. Adams,Phoenix,AZ,85007,Biostimulant,"99,319,200,234,267,882,926,106,1123,1220,1441,1949,2061,2527,2528,3952,4541,5173,5228,5543,5699,6024,6076,2899,6427,6441,6467,6197,6508,6256,6571,6307,7736,7596,7662,7265,7398,7332,7464,7530,7199,7815,8173,8197,8261,8325,8435,8783,8908,9245,9864,10082,10160,10239,10566,10787,10954,11026,11504,11582,11737,11815,11893,11971,12049,12127,12205,12283,12361,12439,12517,12595,12673,12823,13172,13284,13285,13342,13839,13840,13841,13842,13843,13844,14030,14066",,"99,106,200,234,267,319,882,926,1123,1220,1441,1949,2061,2527,2528,2899,3952,4541,5173,5228,5543,5699,6024,6076,6197,6256,6307,6427,6441,6467,6508,6571,7199,7265,7332,7398,7464,7530,7596,7662,7736,7815,8173,8197,8261,8325,8435,8783,8908,9245,9864,10082,10160,10239,10566,10787,10954,11026,12823,13284,13285,13342,11504,11582,11737,11893,11815,11971,13172,12049,12127,12205,12283,12361,12673,12439,12517,12595",,,,,
AZ-Specialty Fertilizer,AZ,Arizona,Specialty Fertilizer,,"Fertilizer,Liming Material",N/A,> 0,,,No,Yes,Registration,Biennial,06,$100.00,$100.00,,$/Registration,,,,licensing@azda.gov,,,(602) 542-0965,licensing@azda.gov,Arizona Dept of Ag/ESD,Paper/Mail,https://agriculture.az.gov/fertilizer-registration,"Label,SDS",1 Month,30,Easy,,,,,,,Paper/Mail,Updated labels,Paper/Mail,https://agriculture.az.gov/fertilizer-registration,,https://agriculture.az.gov/fertilizer-registration,https://agriculture.az.gov/fertilizer-registration,"Name Change,Guarantee Change,Registrant Change",,,,Arizona Department of Agriculture,Environmental Services Division,1668 W. Adams,Phoenix,AZ,85007,Fertilizer,"116,318,452,453,451,430,1,169,299,3028,3094,3157,3220,3283,3408,3471,3565,3693,3757,3821,3885,4007,4073,4137,4201,4278,4342,4413,4477,4596,4660,4724,4788,4853,4917,4981,5109,5402,6733,6734,6735,8794,8795,9028,9094,9160,10493,10626,11094,11197,11300,11403,13072,13455,13470,13684",,"1,116,169,299,318,430,451,452,453,3028,3094,3157,3220,3283,3408,3471,3565,3693,3757,3821,3885,4007,4073,4137,4201,4278,4342,4413,4477,4596,4660,4724,4788,4853,4917,4981,5109,5402,6733,6734,6735,8794,8795,9028,9094,9160,10493,10626,11094,11197,13072,11300,11403",,,,,Mid Year
CA-Adjuvant/Pesticide,CA,California,Adjuvant/Pesticide,,Adjuvant,N/A,0,,,No,Yes,Registration,Annual,12,$1150.00,$1150.00,,$/Registration,,,,,,,,,"Cashier, Department of Pesticide Regulation",Paper/Mail,,"Label,SDS",,90,,,,None,,,,Paper/Mail,,,,,,,,,,,Department of Pesticide Regulation,Pesticide Registration Branch,PO Box 4015,Sacramento,CA,95812-4015,Adjuvant,"914,1344,5764,5774",,"914,1344,5764,5774",,,,,End of Year
CA-Agricultural Mineral,CA,California,Agricultural Mineral,,Fertilizer,N/A,< 5% NPK,,,No,Yes,Registration,Biennial,"01,07",$100.00,$50.00,,$/Registration,,,,ffldrs@cdfa.ca.gov,,,(916) 900-5022,ffldrs@cdfa.ca.gov,,Online Portal,https://inspect.cdfa.ca.gov/evj/ExtraView/,"Label,SDS,CofA,HMA,NPK,Efficacy",3 Months,90,Challenging,"Not required, but likely to be requested.",,HMA,5 years,"Arsenic (As),Cadmium (Cd),Cobalt (Co),Copper (Cu),Lead (Pb),Mercury (Hg),Molybdenum (Mo),Nickel (Ni),Selenium (Se)",,Online Portal,Updated labels,Online Portal,https://inspect.cdfa.ca.gov/evj/ExtraView/,,https://inspect.cdfa.ca.gov/evj/ExtraView/,https://www.cdfa.ca.gov/is/docs/Fertilizing_Materials_Guide.pdf,"Name Change,Guarantee Change,Registrant Change",,,"Initial Registration is $100, but renewals are $50",,"CDFA, FFLDRS Branch ",1220 N Street ,Sacramento,CA,95814,Fertilizer,"63,66,69,321,829,831,5404,6896,5894,5935,7117,7119,7120,7960,9937,10317,10323,11095,11198,11301,11404,12890,12891,12893,12894,13073","GWB-CA-ALL NON-PEST-ALL,AQB-CA-ALL NON-PEST-ALL,IDA-CA-ALL NON-PEST-ALL,GRO-CA-ALL NON-PEST-ALL,SAG-CA-ALL NON-PEST-ALL,IBA-CA-ALL NON-PEST-ALL,EEA-CA-ALL NON-PEST-ALL,ARB-CA-ALL NON-PEST-ALL,COR-CA-ALL NON-PEST-ALL,MAN-CA-ALL NON-PEST-ALL,SYM-CA-ALL NON-PEST-ALL,VER-CA-ALL NON-PEST-ALL,BIN-CA-ALL NON-PEST-ALL,NLS-CA-ALL NON-PEST-ALL,MOR-CA-ALL NON-PEST-ALL,BOR-CA-ALL NON-PEST-ALL,ECO-CA-ALL NON-PEST-ALL,PLL-CA-ALL NON-PEST-ALL","63,66,69,321,829,831,5404,5894,5935,6896,7117,7119,7120,7960,9937,10317,10323,11095,11198,11301,11404,12890,12891,12893,12894,13073",https://www.cdfa.ca.gov/is/docs/Fertilizing_Materials_Guide.pdf,,,,Check Certificate
CA-Auxiliary soil and plant substance,CA,California,Auxiliary soil and plant substance,,"Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent","Foliar,Seed,Soil",0,,,Yes,Yes,Registration,Biennial,"01,07",$100.00,$50.00,,$/Registration,,,,ffldrs@cdfa.ca.gov,,,(916) 900-5022,ffldrs@cdfa.ca.gov,,Online Portal,https://inspect.cdfa.ca.gov/evj/ExtraView/,"Label,SDS,CofA,HMA,Efficacy,Orignal Method of Discovery,Method",3 Months,90,Challenging,"Efficacy data must support claims and be conducted under conditions (soil, weather) similar to those experienced in California. No time length specified. ",,HMA,5 years,"Arsenic (As),Cadmium (Cd),Cobalt (Co),Copper (Cu),Lead (Pb),Mercury (Hg),Molybdenum (Mo),Nickel (Ni),Selenium (Se)",,Online Portal,Updated labels,Online Portal,https://inspect.cdfa.ca.gov/evj/ExtraView/,,https://inspect.cdfa.ca.gov/evj/ExtraView/,https://www.cdfa.ca.gov/is/docs/Fertilizing_Materials_Guide.pdf,"Name Change,Guarantee Change,Registrant Change",,,"Initial Registration is $100, but renewals are $50

 Cancel/Update a Registration/Label: http://www.cdfa.ca.gov/is/docs/ConventionalRegistrationUpdateForm.pdf",,"CDFA, FFLDRS Branch ",1220 N Street ,Sacramento,CA,95814,Biostimulant,"71,322,190,192,231,262,294,529,545,560,585,635,928,1222,1225,1417,1855,1856,1858,1950,2062,2529,2614,2965,3637,3953,4542,5174,5229,5544,5700,6025,6077,5798,6442,6468,6198,6509,6249,6572,6604,8186,8198,8262,8326,8436,8495,8780,9865,10017,10083,10161,10240,10330,10567,10703,10788,11027,11505,11583,11738,11816,11894,11972,12050,12128,12206,12284,12362,12440,12518,12596,12674,12824,12895,12896,13173,13289,13343,13845,13846,13847,13848,14035,14059","GWB-CA-ALL NON-PEST-ALL,AQB-CA-ALL NON-PEST-ALL,IDA-CA-ALL NON-PEST-ALL,GRO-CA-ALL NON-PEST-ALL,SAG-CA-ALL NON-PEST-ALL,IBA-CA-ALL NON-PEST-ALL,EEA-CA-ALL NON-PEST-ALL,ARB-CA-ALL NON-PEST-ALL,COR-CA-ALL NON-PEST-ALL,MAN-CA-ALL NON-PEST-ALL,SYM-CA-ALL NON-PEST-ALL,VER-CA-ALL NON-PEST-ALL,BIN-CA-ALL NON-PEST-ALL,NLS-CA-ALL NON-PEST-ALL,MOR-CA-ALL NON-PEST-ALL,BOR-CA-ALL NON-PEST-ALL,ECO-CA-ALL NON-PEST-ALL,PLL-CA-ALL NON-PEST-ALL","71,190,192,231,262,294,322,529,545,560,585,635,928,1222,1225,1417,1855,1856,1858,1950,2062,2529,2614,2965,3637,3953,4542,5174,5229,5544,5700,5798,6025,6077,6198,6249,6442,6468,6509,6572,6604,8186,8198,8262,8326,8436,8495,8780,9865,10017,10083,10161,10240,10330,10567,10703,10788,11027,11505,11583,11738,11816,11894,11972,12050,12128,12206,12284,12362,12440,12518,12596,12674,12824,12895,12896,13173,13289,13343",https://www.cdfa.ca.gov/is/docs/Fertilizing_Materials_Guide.pdf,,,,Check Certificate
CA-Beneficial Substance,CA,California,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,No Regulation,,,,,,,,,,ffldrs@cdfa.ca.gov,,,,ffldrs@cdfa.ca.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-Bulk Agricultural Mineral,CA,California,Bulk Agricultural Mineral,,Fertilizer,,,,,,Yes,Label Submission,Annual,"01,07",,,,,,,,ffldrs@cdfa.ca.gov,,,,ffldrs@cdfa.ca.gov,,Online Portal,https://inspect.cdfa.ca.gov/evj/ExtraView/,,,90,,,,,,,,Online Portal,,Online Portal,https://inspect.cdfa.ca.gov/evj/ExtraView/,,https://inspect.cdfa.ca.gov/evj/ExtraView/,,,,,,,,,,,,Fertilizer,"7116,9938,11096,11199,11302,11405,13074",,"7116,9938,11096,11199,11302,13074,11405",https://www.cdfa.ca.gov/is/docs/Fertilizing_Materials_Guide.pdf,,,,Check Certificate
CA-Commercial Fertilizer,CA,California,Commercial Fertilizer,,Fertilizer,N/A,> 5% NPK,,,No,Yes,Registration,Biennial,"01,07",$0.00,$0.00,,$/Registration,,,,ffldrs@cdfa.ca.gov,,,(916) 900-5022,ffldrs@cdfa.ca.gov,,Online Portal,https://inspect.cdfa.ca.gov/evj/ExtraView/,"Label,SDS",3 Months,90,Challenging,"Not required, but likely to be requested.",,"HMA,NPK",5 years,"Arsenic (As),Cadmium (Cd),Cobalt (Co),Copper (Cu),Lead (Pb),Mercury (Hg),Molybdenum (Mo),Nickel (Ni),Selenium (Se)",,Online Portal,Updated labels,Online Portal,https://inspect.cdfa.ca.gov/evj/ExtraView/,,https://inspect.cdfa.ca.gov/evj/ExtraView/,https://www.cdfa.ca.gov/is/docs/Fertilizing_Materials_Guide.pdf,"Name Change,Guarantee Change,Registrant Change",,,"Commercial Fertilizers do not require registration, only specialty fertilizers",,"CDFA, FFLDRS Branch ",1220 N Street ,Sacramento,CA,95814,Fertilizer,"830,832,833,834,1160,1158,117,2970,3029,3095,3158,3221,3284,3409,3472,3566,3694,3758,3822,3886,4008,4074,4138,4202,4279,4343,4414,4478,4597,4661,4725,4789,4854,4918,4982,5110,5330,5473,5808,5908,5949,5963,5991,6005,8682,8687,8735,9029,9095,9161,9939,10494,10627,11097,11200,11303,11406,13075","GWB-CA-ALL NON-PEST-ALL,AQB-CA-ALL NON-PEST-ALL,IDA-CA-ALL NON-PEST-ALL,GRO-CA-ALL NON-PEST-ALL,SAG-CA-ALL NON-PEST-ALL,IBA-CA-ALL NON-PEST-ALL,EEA-CA-ALL NON-PEST-ALL,ARB-CA-ALL NON-PEST-ALL,COR-CA-ALL NON-PEST-ALL,MAN-CA-ALL NON-PEST-ALL,SYM-CA-ALL NON-PEST-ALL,VER-CA-ALL NON-PEST-ALL,BIN-CA-ALL NON-PEST-ALL,NLS-CA-ALL NON-PEST-ALL,MOR-CA-ALL NON-PEST-ALL,BOR-CA-ALL NON-PEST-ALL,ECO-CA-ALL NON-PEST-ALL,PLL-CA-ALL NON-PEST-ALL","117,830,832,833,834,1158,1160,2970,3029,3095,3158,3221,3284,3409,3472,3566,3694,3758,3822,3886,4008,4074,4138,4202,4279,4343,4414,4478,4597,4661,4725,4789,4854,4918,4982,5110,5330,5473,5808,5908,5949,5963,5991,6005,8682,8687,8735,9029,9095,9161,9939,10494,10627,11097,11200,11303,11406,13075",https://www.cdfa.ca.gov/is/docs/Fertilizing_Materials_Guide.pdf,,,,Check Certificate
CA-Fertilizing Material License,CA,California,Fertilizing Material License,,Fertilizer,N/A,> 0,,,No,No,License,Biennial,"01,07",$100.00,$100.00,,$/License,,,,ffldrs@cdfa.ca.gov,,,(916) 900-5022,ffldrs@cdfa.ca.gov,,Online Portal,https://inspect.cdfa.ca.gov/evj/ExtraView/,,1 Week,90,Easy,,,,,,,Online Portal,Updated labels,,https://inspect.cdfa.ca.gov/evj/ExtraView/,,https://inspect.cdfa.ca.gov/evj/ExtraView/,https://www.cdfa.ca.gov/is/docs/Fertilizing_Materials_Guide.pdf,Company Name Change,,,,,"CDFA, FFLDRS Branch ",1220 N Street ,Sacramento,CA,95814,Fertilizer,"3,320,415,458,835,756,1042,1043,207,1159,1171,1172,1173,1227,2008,2051,2613,3535,5312,5396,5977,5994,6897,7866,8111,8681,8781,6727,6729,6728,9242,12897,13425,13539","GWB-CA-ALL NON-PEST-ALL,AQB-CA-ALL NON-PEST-ALL,IDA-CA-ALL NON-PEST-ALL,GRO-CA-ALL NON-PEST-ALL,SAG-CA-ALL NON-PEST-ALL,IBA-CA-ALL NON-PEST-ALL,EEA-CA-ALL NON-PEST-ALL,ARB-CA-ALL NON-PEST-ALL,COR-CA-ALL NON-PEST-ALL,MAN-CA-ALL NON-PEST-ALL,SYM-CA-ALL NON-PEST-ALL,VER-CA-ALL NON-PEST-ALL,BIN-CA-ALL NON-PEST-ALL,NLS-CA-ALL NON-PEST-ALL,MOR-CA-ALL NON-PEST-ALL,BOR-CA-ALL NON-PEST-ALL,ECO-CA-ALL NON-PEST-ALL,PLL-CA-ALL NON-PEST-ALL","3,207,320,415,458,756,835,1042,1043,1159,1171,1172,1173,1227,2008,2051,2613,3535,5312,5396,5977,5994,6727,6728,6729,6897,7866,8111,8681,8781,9242,12897,13425,13539",https://www.cdfa.ca.gov/is/docs/Fertilizing_Materials_Guide.pdf,,,,Check Certificate
CA-Organic Materials Input,CA,California,Organic Materials Input,,Organic,N/A,,Organic production use,,Yes,Yes,Registration,Biennial,"01,07",$500.00,$500.00,,$/Registration,,,,ffldrs@cdfa.ca.gov,,,(916) 900-5022,ffldrs@cdfa.ca.gov,,Online Portal,https://inspect.cdfa.ca.gov/evj/ExtraView/,"Label,SDS,CofA,HMA,Efficacy",3 Months,90,Challenging,,,"HMA,NPK,Pathogens",5 years,"Arsenic (As),Cadmium (Cd),Cobalt (Co),Copper (Cu),Lead (Pb),Mercury (Hg),Molybdenum (Mo),Nickel (Ni),Selenium (Se)","Salmonella,E. coli,Fecal Coliforms",Online Portal,Updated labels,Online Portal,https://inspect.cdfa.ca.gov/evj/ExtraView/,,https://inspect.cdfa.ca.gov/evj/ExtraView/,https://www.cdfa.ca.gov/is/docs/Fertilizing_Materials_Guide.pdf,"Name Change,Guarantee Change,Registrant Change",,,,,"CDFA, FFLDRS Branch ",1220 N Street ,Sacramento,CA,95814,Biostimulant,"429,431,432,167,433,434,435,436,437,438,439,440,1036,1337,1791,1794,1857,1951,2479,2652,5811,6624,6726,6993,7045,7122,7123,7126,8134,8199,8263,8327,8437,9073,9139,9205,8876,10929,10956,12820,12887,13301,13686,14034,14107","GWB-CA-ALL NON-PEST-ALL,AQB-CA-ALL NON-PEST-ALL,IDA-CA-ALL NON-PEST-ALL,GRO-CA-ALL NON-PEST-ALL,SAG-CA-ALL NON-PEST-ALL,IBA-CA-ALL NON-PEST-ALL,EEA-CA-ALL NON-PEST-ALL,ARB-CA-ALL NON-PEST-ALL,COR-CA-ALL NON-PEST-ALL,MAN-CA-ALL NON-PEST-ALL,SYM-CA-ALL NON-PEST-ALL,VER-CA-ALL NON-PEST-ALL,BIN-CA-ALL NON-PEST-ALL,NLS-CA-ALL NON-PEST-ALL,MOR-CA-ALL NON-PEST-ALL,BOR-CA-ALL NON-PEST-ALL,ECO-CA-ALL NON-PEST-ALL,PLL-CA-ALL NON-PEST-ALL","167,429,431,432,433,434,435,436,437,438,439,440,1036,1337,1791,1794,1857,1951,2479,2652,5811,6624,6726,6993,7045,7122,7123,7126,8134,8199,8263,8327,8437,8876,9073,9139,9205,10929,10956,12820,12887,13301",https://www.cdfa.ca.gov/is/docs/Fertilizing_Materials_Guide.pdf,,,,Check Certificate
CA-Pesticide,CA,California,Pesticide,,Pesticide,N/A,,,,Yes,Yes,Registration,Annual,12,$1150.00,$1150.00,,$/Registration,,,,,,,,,"Cashier, Department of Pesticide Regulation",Paper/Mail,,"Label,SDS",,90,,,,None,,,,Paper/Mail,,Paper/Mail,,,,,,,,,Department of Pesticide Regulation,Pesticide Registration Branch,PO Box 4015,Sacramento,CA,95812-4015,Pesticide,1344,,1344,,,,,End of Year
